location,recordingDate,method,taskLength,status,transcriber,rain,wind,industryNoise,otherNoise,audioQuality,taskComments,internal_task_id
JR-T2, 2023-06-21 06:30:00,1SPT,300,Transcribed,Zach Kahn,None,Heavy,None,None,None,,948642
JR-T2, 2023-06-16 05:30:00,1SPT,300,Transcribed,Zach Kahn,None,Heavy,None,None,None,,948657
AC-T1, 2023-06-06 06:30:00,1SPT,300,Transcribed,Eric Pollard,None,Light,None,None,None,,948658
JR-C1, 2023-06-16 05:30:00,1SPT,300,Transcribed,Eric Pollard,None,Light,None,None,None,,948669
JR-C1, 2023-06-11 05:30:00,1SPT,300,Transcribed,Zach Kahn,None,Heavy,None,None,None,,948679
AC-C2, 2023-05-27 05:30:00,1SPT,300,Transcribed,Christopher Moser-Purdy,None,Light,None,None,None,,948656
JR-T1, 2023-06-16 07:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948643
JR-T1, 2023-06-16 06:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948641
JR-T3, 2023-06-11 05:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948644
AC-T1, 2023-06-16 07:30:00,1SPT,300,Transcribed,Liam Brennan,Light,Light,None,None,None,,948678
JR-C1, 2023-06-16 07:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948683
JR-C2, 2023-06-11 05:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948684
JR-T1, 2023-06-06 05:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948685
AC-C2, 2023-06-21 05:30:00,1SPT,300,Transcribed,Zach Kahn,None,Moderate,None,None,None,,948650
JR-T2, 2023-06-06 07:30:00,1SPT,300,Transcribed,Zach Kahn,None,Heavy,None,None,None,,948662
JR-C2, 2023-06-16 05:30:00,1SPT,300,Transcribed,Zach Kahn,None,Heavy,None,None,None,,948664
JR-C2, 2023-06-21 05:30:00,1SPT,300,Transcribed,Zach Kahn,None,Moderate,None,Light,None,,948665
AC-T2, 2023-06-06 05:30:00,1SPT,300,Transcribed,Christopher Moser-Purdy,None,None,None,None,None,,948645
JR-T2, 2023-06-21 07:30:00,1SPT,300,Transcribed,Eric Pollard,None,None,Light,None,None,Airplane noise,948646
AC-T1, 2023-06-21 06:30:00,1SPT,300,Transcribed,Zach Kahn,None,Light,None,Moderate,None,,948672
JR-T1, 2023-06-21 06:30:00,1SPT,300,Transcribed,Eric Pollard,None,None,None,None,None,,948638
AC-C2, 2023-06-16 05:30:00,1SPT,300,Transcribed,Eric Pollard,Light,None,Light,None,None,,948651
JR-T3, 2023-06-06 07:30:00,1SPT,300,Transcribed,Eric Pollard,None,Moderate,None,None,None,,948663
AC-T2, 2023-06-01 05:30:00,1SPT,300,Transcribed,Eric Pollard,None,None,None,None,None,,948652
AC-C2, 2023-06-06 06:30:00,1SPT,300,Transcribed,Eric Pollard,None,Light,None,None,None,,948670
AC-T1, 2023-06-21 07:30:00,1SPT,300,Transcribed,Eric Pollard,None,Light,None,None,None,,948677
AC-T2, 2023-06-01 06:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948636
JR-T3, 2023-06-11 06:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948659
JR-C1, 2023-06-21 06:30:00,1SPT,300,Transcribed,Liam Brennan,None,Moderate,None,None,None,,948671
AC-T2, 2023-05-27 07:30:00,1SPT,300,Transcribed,Zach Kahn,None,Moderate,None,None,None,,948680
JR-C2, 2023-06-16 06:30:00,1SPT,300,Transcribed,Zach Kahn,None,Heavy,None,None,None,,948674
JR-T3, 2023-06-16 05:30:00,1SPT,300,Transcribed,Eric Pollard,None,Moderate,None,None,None,,948653
